Horizon,MAE,RMSE,MAPE,R2
Day 1,143.69382159090742,200.66983722072027,3.5758612701595687,0.9641122412418944
Day 2,187.82914894781442,252.82745712371766,4.766898955141557,0.9431185779793438
Day 3,242.90095073538646,319.0367808075317,6.143289690123462,0.9095250060671122
Day 4,280.44346943679164,364.5606479051107,7.162158604533977,0.8819761283537507
Day 5,316.33933609436605,408.4611087553203,8.120620292689688,0.851934816190329
Day 6,345.63899981246675,447.97958182201245,8.905128157700382,0.8220189992876232
Day 7,374.812564863627,486.673781374057,9.654766241250567,0.7900961255448634
