Horizon,MAE,RMSE,MAPE,R2
Day 1,104.89989936055511,156.99655468032162,2.8131049549156337,0.9780334231682024
Day 2,137.59928726734861,211.15010024023124,3.752376096389218,0.9603261309383038
Day 3,170.72946557889196,262.8652956657918,4.6842170479664125,0.9385794700167472
Day 4,204.4229693060927,312.80862681685403,5.5718960439119485,0.9131064129207763
Day 5,237.31402253840398,359.4030441350897,6.443865679120902,0.8853655824163125
Day 6,271.5769361533479,404.5138519337625,7.328701341760032,0.8548810925354062
Day 7,304.77075073612275,447.2166455276475,8.194893359414959,0.822752354739271
