Horizon,MAE,RMSE,MAPE,R2
Day 1,126.60517719838812,185.2579161976591,3.4288316936761625,0.9694130840560178
Day 2,362.4203324171044,429.0772739722028,9.079303107253276,0.8361701636796832
Day 3,208.87867468121408,292.3942331906082,5.452304269105408,0.9240050629623021
Day 4,239.22467045926496,345.9545353632702,6.451210031843534,0.8937158902512674
Day 5,294.97526841437684,400.6072617671165,7.603399106365191,0.8575740381086316
Day 6,291.2328868225799,415.9962496053751,7.722789729414468,0.8465255679736732
Day 7,421.4044254346826,544.6849269528847,10.695225082737881,0.7370729496864828
