Model,MAE,RMSE,MAPE (%),R²,MAE_Rank,RMSE_Rank,MAPE_Rank,R2_Rank,Avg_Rank
Linear Regression,204.47333299153757,307.85058842852834,5.541293503354159,0.9075777809621457,1.0,1.0,1.0,1.0,1.0
LightGBM,270.2368987830514,354.31559928692434,6.904103315942742,0.8803974135235595,2.0,2.0,2.0,2.0,2.0
XGBoost,284.483313078481,376.66914571650534,7.202499143029151,0.8667405227218781,4.0,4.0,3.0,3.0,3.5
LSTM,277.8202050610873,373.42462814987374,7.204723288627989,0.866353822388294,3.0,3.0,4.0,4.0,3.5
Prophet,684.9359919368611,827.0003447464635,19.262513378766553,0.3942940010638322,5.0,5.0,5.0,5.0,5.0
