Horizon,MAE,RMSE,MAPE,R2
Day 1,664.1875040574677,802.6519919127869,18.710125581728317,0.4272552368750169
Day 2,671.5956870807844,811.3508151248184,18.90589223810639,0.4158722012636249
Day 3,678.7365136780163,819.6806956552985,19.094839664526884,0.4047199062333565
Day 4,685.4580359919402,827.6813809169411,19.275196464997038,0.3936797065281792
Day 5,691.9895753797227,835.3675001401562,19.45083531238672,0.3829334075563815
Day 6,698.2264572156487,842.6816679816375,19.618313554274618,0.37265581316688945
Day 7,704.3581701544476,849.5883614936066,19.782390835345883,0.3629417358233774
