Horizon,MAE,RMSE,MAPE,R2
Day 1,162.70658789623744,231.45712018994286,3.9538153004352865,0.9522555130719421
Day 2,204.5694657038546,278.05541018927516,5.131553327730327,0.9312005967761096
Day 3,253.74796219749012,337.75822420611416,6.382669320709629,0.8985951051686492
Day 4,301.34828347392465,395.770238650064,7.604121274351523,0.8609033893128449
Day 5,332.2358796990055,436.22911293229544,8.414322561418718,0.8311189897070567
Day 6,353.9560635340899,460.6373136367599,9.095532586022594,0.8118191465350618
Day 7,382.8189490447647,496.7766002110855,9.835479630535977,0.7812909184814818
