DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-01-15,2550.0,4.0,1.0,2,15.0,0.0,2560.0,2572.0,2591.4285714285716,2590.0,2600.0,2640.0,26.457513110646012,25.884358211089552,39.339789623472385
2010-01-16,2550.0,5.0,1.0,2,16.0,0.0,2563.3333333333335,2566.0,2578.5714285714284,2550.0,2540.0,2580.0,23.094010767585186,27.018512172212574,35.32165125838656
2010-01-17,2550.0,6.0,1.0,2,17.0,0.0,2550.0,2556.0,2565.714285714286,2550.0,2590.0,2600.0,0.0,19.493588689617905,23.704530408865054
2010-01-18,2550.0,0.0,1.0,3,18.0,0.0,2550.0,2558.0,2561.4285714285716,2550.0,2550.0,2540.0,0.0,17.888543819998294,23.40126166724989
2010-01-19,2510.0,1.0,1.0,3,19.0,0.0,2536.6666666666665,2542.0,2548.5714285714284,2550.0,2550.0,2590.0,23.094010767585186,17.888543819998294,23.40126166725036
2010-01-20,2530.0,2.0,1.0,3,20.0,0.0,2530.0,2538.0,2547.1428571428573,2510.0,2550.0,2550.0,20.000000000000142,17.888543819998294,24.299715851759792
2010-01-21,2560.0,3.0,1.0,3,21.0,0.0,2533.3333333333335,2540.0,2542.8571428571427,2530.0,2550.0,2550.0,25.166114784235884,19.99999999999998,17.043362064929358
2010-01-22,2620.0,4.0,1.0,3,22.0,0.0,2570.0,2554.0,2552.8571428571427,2560.0,2510.0,2550.0,45.8257569495584,41.59326868617083,34.01680257083143
2010-01-23,2620.0,5.0,1.0,3,23.0,0.0,2600.0,2568.0,2562.8571428571427,2620.0,2530.0,2550.0,34.64101615137755,50.69516742254629,42.31401884099693
2010-01-24,2620.0,6.0,1.0,3,24.0,0.0,2620.0,2590.0,2572.8571428571427,2620.0,2560.0,2510.0,0.0,42.42640687119284,46.802523334497955
2010-01-25,2600.0,0.0,1.0,4,25.0,0.0,2613.3333333333335,2604.0,2580.0,2620.0,2620.0,2530.0,11.54700538379258,26.07680962081058,46.54746681256341
2010-01-26,2600.0,1.0,1.0,4,26.0,0.0,2606.6666666666665,2612.0,2592.8571428571427,2600.0,2620.0,2560.0,11.54700538379258,10.954451150103282,34.982989063393916
2010-01-27,2670.0,2.0,1.0,4,27.0,0.0,2623.3333333333335,2622.0,2612.8571428571427,2600.0,2620.0,2620.0,40.41451884327374,28.63564212655269,33.02235894778257
2010-01-28,2670.0,3.0,1.0,4,28.0,0.0,2646.6666666666665,2632.0,2628.5714285714284,2670.0,2600.0,2620.0,40.41451884327374,35.63705936241091,29.680841985233105
2010-01-29,2670.0,4.0,1.0,4,29.0,0.0,2670.0,2642.0,2635.714285714286,2670.0,2600.0,2620.0,0.0,38.34057902536161,33.09438162646469
2010-01-30,2670.0,5.0,1.0,4,30.0,0.0,2670.0,2656.0,2642.8571428571427,2670.0,2670.0,2600.0,0.0,31.30495168499704,34.5032779671174
2010-01-31,2670.0,6.0,1.0,4,31.0,0.0,2670.0,2670.0,2650.0,2670.0,2670.0,2600.0,0.0,0.0,34.156502553198195
2010-02-01,2650.0,0.0,2.0,5,1.0,0.0,2663.3333333333335,2666.0,2657.1428571428573,2670.0,2670.0,2670.0,11.54700538379258,8.944271909999108,26.276913640611422
2010-02-02,2690.0,1.0,2.0,5,2.0,0.0,2670.0,2670.0,2670.0,2650.0,2670.0,2670.0,20.000000000000057,14.142135623730919,11.54700538378998
2010-02-03,2690.0,2.0,2.0,5,3.0,0.0,2676.6666666666665,2674.0,2672.8571428571427,2690.0,2670.0,2670.0,23.09401076758511,16.733200530681483,13.801311186844885
2010-02-04,2650.0,3.0,2.0,5,4.0,0.0,2676.6666666666665,2670.0,2670.0,2690.0,2650.0,2670.0,23.09401076758511,19.99999999999998,16.32993161855267
2010-02-05,2650.0,4.0,2.0,5,5.0,0.0,2663.3333333333335,2666.0,2667.1428571428573,2650.0,2690.0,2670.0,23.09401076758511,21.908902300206623,17.994708216847087
2010-02-06,2650.0,5.0,2.0,5,6.0,0.0,2650.0,2666.0,2664.285714285714,2650.0,2690.0,2650.0,0.0,21.908902300206623,19.02379462422532
2010-02-07,2650.0,6.0,2.0,5,7.0,0.0,2650.0,2658.0,2661.4285714285716,2650.0,2650.0,2690.0,0.0,17.888543819998294,19.518001458969273
2010-02-08,2610.0,0.0,2.0,6,8.0,0.0,2636.6666666666665,2642.0,2655.714285714286,2650.0,2650.0,2690.0,23.09401076758511,17.888543819998294,27.60262237369331
2010-02-09,2310.0,1.0,2.0,6,9.0,0.0,2523.3333333333335,2574.0,2601.4285714285716,2610.0,2650.0,2650.0,185.83146486355145,148.59340496805368,130.56653111582256
