DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2024-01-01,3876.0,0.0,1.0,1,1.0,0.0,3876.0,3876.0,3876.8571428571427,3876.0,3876.0,3872.0,0.0,0.0,4.298393934674147
2024-01-02,3876.0,1.0,1.0,1,2.0,0.0,3876.0,3876.0,3875.4285714285716,3876.0,3876.0,3876.0,0.0,0.0,1.511857872688178
2024-01-03,3742.0,2.0,1.0,1,3.0,0.0,3831.3333333333335,3849.2,3856.8571428571427,3876.0,3876.0,3876.0,77.36493607145056,59.926621796952766,50.647239382664225
2024-01-04,3804.0,3.0,1.0,1,4.0,0.0,3807.3333333333335,3834.8,3846.5714285714284,3742.0,3876.0,3876.0,67.06216021974828,60.52437525489271,53.35059244495842
2024-01-05,3864.0,4.0,1.0,1,5.0,0.0,3803.3333333333335,3832.4,3844.8571428571427,3804.0,3876.0,3876.0,61.00273217929764,58.692418590437036,52.432269234558674
2024-01-06,3864.0,5.0,1.0,1,6.0,0.0,3844.0,3830.0,3843.1428571428573,3864.0,3742.0,3876.0,34.641016151471746,56.674509261175686,51.43095232528071
2024-01-07,3864.0,6.0,1.0,1,7.0,0.0,3864.0,3827.6,3841.4285714285716,3864.0,3804.0,3876.0,0.0,54.44997704310901,50.3416896242886
2024-01-08,3870.0,0.0,1.0,2,8.0,0.0,3866.0,3853.2,3840.5714285714284,3864.0,3864.0,3742.0,3.4641016161368174,27.626074639640876,49.7019689170181
2024-01-09,3884.0,1.0,1.0,2,9.0,0.0,3872.6666666666665,3869.2,3841.714285714286,3870.0,3864.0,3804.0,10.263202879236875,8.671793355180172,50.73366497550956
2024-01-10,3884.0,2.0,1.0,2,10.0,0.0,3879.3333333333335,3873.2,3862.0,3884.0,3864.0,3864.0,8.082903769097953,10.158740079110771,27.10473513260254
2024-01-11,3884.0,3.0,1.0,2,11.0,0.0,3884.0,3877.2,3873.4285714285716,3884.0,3870.0,3864.0,0.0,9.54986910878448,10.113640008781951
2024-01-12,4020.0,4.0,1.0,2,12.0,0.0,3929.3333333333335,3908.4,3895.714285714286,3884.0,3884.0,3864.0,78.51963660984059,62.6801403954618,55.57491726050755
2024-01-13,4020.0,5.0,1.0,2,13.0,0.0,3974.6666666666665,3938.4,3918.0,4020.0,3884.0,3870.0,78.51963660984588,74.49026782066697,70.11419257140557
2024-01-14,4020.0,6.0,1.0,2,14.0,0.0,4020.0,3965.6,3940.285714285714,4020.0,3884.0,3884.0,0.0,74.49026782066632,74.72999015462858
2024-01-15,4288.0,0.0,1.0,3,15.0,0.0,4109.333333333333,4046.4,4000.0,4020.0,4020.0,3884.0,154.7298721428563,147.33906474521382,144.0555448427363
2024-01-16,4248.0,1.0,1.0,3,16.0,0.0,4185.333333333333,4119.2,4052.0,4288.0,4020.0,3884.0,144.57293430426736,136.5693962789396,160.01666579850163
2024-01-17,4436.0,2.0,1.0,3,17.0,0.0,4324.0,4202.4,4130.857142857143,4248.0,4020.0,4020.0,99.03534722519622,180.6344374696966,195.50569349870554
2024-01-18,4840.0,3.0,1.0,3,18.0,0.0,4508.0,4366.4,4267.428571428572,4436.0,4288.0,4020.0,302.49628096890484,303.8499629751387,300.19929887917544
2024-01-19,4814.0,4.0,1.0,3,19.0,0.0,4696.666666666667,4525.2,4380.857142857143,4840.0,4248.0,4020.0,226.11796331418572,284.4137830696546,338.6676977860976
2024-01-20,4814.0,5.0,1.0,3,20.0,0.0,4822.666666666667,4630.4,4494.285714285715,4814.0,4436.0,4288.0,15.011106999742676,271.7403172147853,330.5317505099331
2024-01-21,4814.0,6.0,1.0,3,21.0,0.0,4814.0,4743.6,4607.714285714285,4814.0,4840.0,4248.0,0.0,172.32179200551428,271.63561026092265
2024-01-22,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-23,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-24,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-25,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-26,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-27,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-28,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-29,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
2024-01-30,5152.0,0.0,1.0,4,22.0,0.0,4926.666666666667,4886.8,4731.142857142857,4814.0,4814.0,4436.0,195.14439098616083,148.6781759371269,297.2380799803273
